CodicePratica;DenominazioneSito;Indirizzo;X_gb;Y_gb;MUNICIPIO;ID_NIL;NIL;Y_wgs84;X_wgs84;Location
151469748;Bonifica area Mini Hotel Tiziano S.p.a. - Garage Meravigli;Via M. Camperio, 4;1514379;5034790;1;1;DUOMO;45.46563674;9.1839203;(45.46563674, 9.1839203)
1514610021;Bonifica area Via Espinasse;Via Espinasse, 93;1511019;5038417;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;45.49834343;9.14102648;(45.49834343, 9.14102648)
151469423;Area condominio;Via della Moscova, 53;1514276;5036069;1;2;BRERA;45.47715492;9.18264422;(45.47715492, 9.18264422)
1514610266;BONIFICA AREA VIA ALEARDO ALEARDI;Via Aleardo Aleardi, 14;1513641;5036578;8;69;SARPI;45.48175084;9.17453345;(45.48175084, 9.17453345)
151460075;Città 2000 exFerrerie Redaelli;Via Rogoredo, 7;1519167;5031393;4;33;ROGOREDO - SANTA GIULIA;45.43494828;9.24504003;(45.43494828, 9.24504003)
151469881;Area di prpprietà Milano Centro Immobili S.r.l.;Via Giannone, 8;1513979;5036235;1;69;SARPI;45.4786504;9.17885381;(45.4786504, 9.17885381)
151469361;P.V. Esso Italiana Srl n. 2104;Via Palatino, 1;1510337;5035878;7;60;STADIO - IPPODROMI;45.47550157;9.13225292;(45.47550157, 9.13225292)
1514610245;Area ex Galvanica;Viale Bodio , 16;1513265;5038253;9;78;FARINI;45.4968342;9.16976799;(45.4968342, 9.16976799)
1514610096;Bonifica ex P.V. colori TAMOIL, proprietà MASSA M.G. di Vincenzo Esposito & C. s.a.s.;Bastioni Porta Venezia;1515632;5035912;1;3;GIARDINI P.TA VENEZIA;45.47571343;9.1999883;(45.47571343, 9.1999883)
151469577;Ex area industriale La Forgiatura;Via Varesina, 158/162;1510972;5038900;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;45.50269104;9.14044049;(45.50269104, 9.14044049)
151469043;PRU Palizzi-area ex FINA;Via Palizzi;1511318;5039359;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;45.50682069;9.14487254;(45.50682069, 9.14487254)
1514610203;Bonifica P.V. Esso n. 544;Via Parri, 60;1508355;5033444;6;53;LORENTEGGIO;45.45362214;9.10684418;(45.45362214, 9.10684418)
151469861;PV Agip n. 52078;Corso Sempione , 35;1512838;5036535;8;68;PAGANO;45.4813755;9.16426422;(45.4813755, 9.16426422)
151469592;Bonifica area di proprietà delle Sig.re Annamaria e Maria Brasca;Via Ettore Ponti, 54;1511939;5032055;6;45;MONCUCCO - SAN CRISTOFORO;45.44106934;9.15264804;(45.44106934, 9.15264804)
1514610067;"Bonifica area di Via San Gregorio (Soc. nazionale di mutuo soccorso ""Cesare Pozzo"")";Via San Gregorio, 48;1515741;5036480;2;10;STAZIONE CENTRALE - PONTE SEVESO;45.48082335;9.20140537;(45.48082335, 9.20140537)
151469063;Ex distributore Shell 49330;Via Palazzi;1515958;5036019;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;45.47666712;9.20416388;(45.47666712, 9.20416388)
151469742;Area di proprietà Zurich Insurance Company LTD;Via Sandro Sandri, 1;1515038;5035774;1;2;BRERA;45.47448102;9.19238498;(45.47448102, 9.19238498)
151469668;Area ex Istituto Sieroterapico Milanese - lotto 2 (monitoraggio post bonifica);Via Darwin, 20;1513664;5032474;6;44;PORTA TICINESE - CONCHETTA;45.44480714;9.17471497;(45.44480714, 9.17471497)
1514610160;Area di Via Giovenale;Via Giovenale, 7;1514463;5032984;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;45.44938134;9.18494647;(45.44938134, 9.18494647)
1514610036;Bonifica area Via Rizzardi;Via Rizzardi, 75;1507510;5039186;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;45.50531889;9.09612611;(45.50531889, 9.09612611)
151469716;Area Condominio;Via Alberto Mario, 6;1511865;5035427;7;58;DE ANGELI - MONTE ROSA;45.4714238;9.15178819;(45.4714238, 9.15178819)
1514610046;Bonifica area Istituto Superiore Tenca;Bastioni Porta Volta, 16;1514191;5036232;1;69;SARPI;45.47862323;9.18155776;(45.47862323, 9.18155776)
151469552;PV IP n. 12304;Via Washington, 85;1512128;5033783;6;51;PORTA MAGENTA;45.45662129;9.15510289;(45.45662129, 9.15510289)
151469084;Area Pirelli Bicocca Metrotramviaparcheggio P7;Via via Fieramosca,via Beccaro, snc;1516646;5040370;9;15;BICOCCA;45.51581385;9.21311371;(45.51581385, 9.21311371)
151469389;Ex Officine Rastelli;Via Altamura, 4;1511081;5035048;7;57;SAN SIRO;45.46802201;9.14174611;(45.46802201, 9.14174611)
151469852;Area di Via Principe Eugenio;Via Principe Eugenio, 12;1512799;5037258;8;70;GHISOLFA;45.48788382;9.16378671;(45.48788382, 9.16378671)
151469275;Sversamento accident.di gasolio da riscaldam. avvenuto in data 12/12/03 c/o Condominio;Via San Michele al Carso, 21;1512892;5034491;1;7;MAGENTA - S. VITTORE;45.46298098;9.16489988;(45.46298098, 9.16489988)
151469973;Bonifica P.V. Esso 2118 - 106212;Via Rembrandt, 13;1510780;5034880;7;52;BANDE NERE;45.46651356;9.13788849;(45.46651356, 9.13788849)
1514610186;Bonifica area di Via Quadronno;Via Quadronno , 33;1515310;5033475;1;5;PORTA VIGENTINA - PORTA LODOVICA;45.45378481;9.1957915;(45.45378481, 9.1957915)
151469165;P.V. AgipPetroli n. 2239;Porta Nuova;1514978;5036268;1;2;BRERA;45.47893393;9.19162982;(45.47893393, 9.19162982)
151460059;Industrie Chimiche Leri;Via Chiesa Rossa, 113;1513365;5030244;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;45.4247412;9.1708341;(45.4247412, 9.1708341)
151469059;Zama/Salomone P. d. Z. - ALER;Via Zama/Salomone;1518837;5033327;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;45.4523609;9.24089564;(45.4523609, 9.24089564)
150020029;garibaldi;N/D;1514609;5034696;1;1;DUOMO;45.46478419;9.18686313;(45.46478419, 9.18686313)
151469989;Area di Via Rovello;Via Rovello, 14/16;1514432;5034971;1;2;BRERA;45.46727173;9.18461333;(45.46727173, 9.18461333)
151469916;Bonifica sito EXPO 2015 - Areali 3A e 3B -;N/D;1507678;5040954;8;73;CASCINA MERLATA;45.52122381;9.09830237;(45.52122381, 9.09830237)
1514610031;Bonifica area serbatoi interrati c/o area comunale;Via San Paolo angolo P.zza Liberty, 1;1515201;5034684;1;1;DUOMO;45.46467155;9.19443223;(45.46467155, 9.19443223)
1514610201;Bonifica area Via Frosinone;Via Frosinone, 4;1506372;5034374;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;45.46201708;9.08150135;(45.46201708, 9.08150135)
151469757;AREA P.I.I. GARIBALDI REPUBBLICA UNITA' U1/ AREA PODIO / ZONA EDIFICIO E3 (RESIDENZIALE);N/D;1515032;5036675;9;9;PORTA GARIBALDI - PORTA NUOVA;45.48259432;9.19233392;(45.48259432, 9.19233392)
1514610343;BONIFICA AREA VIA BETTINELLI;Via F.lli Bettinelli, 3;1513965;5033082;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;45.45027451;9.17857824;(45.45027451, 9.17857824)
151460113;Farmitalia Carlo Erba;Via Bezzi;1511506;5034256;7;52;BANDE NERE;45.46088928;9.14716921;(45.46088928, 9.14716921)
1514610213;"BONIFICA AREA COMPLESSO SCOLASTICO ""CASA DEI BAMBINI M. MONTESSORI""";Via Arosio, 3;1509820;5035574;7;60;STADIO - IPPODROMI;45.47277729;9.12562046;(45.47277729, 9.12562046)
151469870;Bonifica per fuoriuscita accidentale idrocarburi da serbatoio per gasolio da riscaldamento - stabile Via San Calimero;Via San Calimero, 11;1515102;5033722;1;5;PORTA VIGENTINA - PORTA LODOVICA;45.45601397;9.19314418;(45.45601397, 9.19314418)
1514610374;Bonifica sversamento gasolio del 11/12/18 c/o istituto scolastico di Via Brunacci 2;Via Brunacci, 2;1513920;5032357;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;45.44375122;9.17798078;(45.44375122, 9.17798078)
1514610256;AREA CONDOMINIO DI VIA TRIVULZIO;Via Trivulzio, 22;1511286;5034735;7;52;BANDE NERE;45.46519931;9.14435562;(45.46519931, 9.14435562)
151469221;Ex Ditta Lambro;Via Stefanardo da Vimercate, 241;1517776;5039271;2;16;GORLA - PRECOTTO;45.5058925;9.22753692;(45.5058925, 9.22753692)
151469843;Area di Via Balduccio;Via Balduccio, 10;1516237;5032192;5;36;SCALO ROMANA;45.4422169;9.20760757;(45.4422169, 9.20760757)
151469768;Bonifica P.V. Agip n. 52089;Via Valtellina, 69;1514357;5038180;9;11;ISOLA;45.49615145;9.18373997;(45.49615145, 9.18373997)
151469334;Dismissione e rimozione di serbatoio interrrato nell'area della Coop. Rogoredo Sviluppo Scrl;Via Monte Palombino, 3;1519080;5030935;4;32;TRIULZO SUPERIORE;45.43082841;9.24391347;(45.43082841, 9.24391347)
1514610365;Area Immobiliare Cavalcabò;Via Cavalcabò, 4;1511871;5034236;7;51;PORTA MAGENTA;45.46070225;9.15183026;(45.46070225, 9.15183026)
1514610054;Bonifica area di proprietà Pericle 2008 srl;Via Pericle, s.n.c.;1517170;5039594;2;16;GORLA - PRECOTTO;45.50881654;9.21980101;(45.50881654, 9.21980101)
151469371;Senesi Immobiliare S.r.l.;Via Oslavia, 21;1519398;5036536;3;23;LAMBRATE - ORTICA;45.48123082;9.24818908;(45.48123082, 9.24818908)
151469261;Incendio del 13/02/03c/o l'area retrostante ai magazzini;Via Ippocrate, 45;1512561;5040730;9;81;BOVISASCA;45.51914222;9.16082192;(45.51914222, 9.16082192)
151469594;Bonifica area ex Timbrificio Tenca di proprietà della Soc. Edil Dibi s.r.l.;Via Mola, 5;1511295;5038301;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;45.49729469;9.14455471;(45.49729469, 9.14455471)
151469051;Area Dismessa Roussel Maestretti Pharma;Viale Gran Sasso, 18;1517240;5036431;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;45.48034866;9.22057741;(45.48034866, 9.22057741)
1514610274;BONIFICA AREA DI PROPRIETA' RUBATTINO 4 srl, mappali 12 e 73 parte, foglio 324;Via Rubattino, 4;1519459;5035914;3;23;LAMBRATE - ORTICA;45.47563463;9.2489545;(45.47563463, 9.2489545)
151469077;PV Tamoil;Via Cassinis, 12/14;1518154;5031415;4;35;LODI - CORVETTO;45.43517701;9.23209463;(45.43517701, 9.23209463)
151469832;Bonifica Area di Via Monte Grappa;Via Montegrappa, 16;1514823;5036424;1;2;BRERA;45.48034173;9.18966074;(45.48034173, 9.18966074)
151469171;Stabilimento ex Oferwalits;Via Sesto San Giovanni, 9;1516804;5040250;9;15;BICOCCA;45.51472888;9.2151372;(45.51472888, 9.2151372)
151469835;Area Aler - Porzione del PII Santa Giulia;Via Bonfadini, 148;1518959;5031141;4;33;ROGOREDO - SANTA GIULIA;45.43268214;9.24237038;(45.43268214, 9.24237038)
151469245;Area Ferrovie Nord Milano Spa - Gecofin Srl (Affori);Via Astesani Comasina Ciccotti;1513063;5040738;9;80;AFFORI;45.51920302;9.16725217;(45.51920302, 9.16725217)
151469891;Area ex Sexta di Piazza Gerusalemme ex Via Monvisio;Piazza Gerusalemme ex Via Monviso 17, 16;1513159;5036906;8;69;SARPI;45.48470982;9.16837985;(45.48470982, 9.16837985)
151460030;PRU TIBB P.le Lodi - area ABB;Via Lodi, 3;1516747;5032678;4;28;UMBRIA - MOLISE - CALVAIRATE;45.44657487;9.21414962;(45.44657487, 9.21414962)
151460050;Immobiliare Franto srl ex Plating Plast sas;Via San Faustino, 44;1518949;5035663;3;23;LAMBRATE - ORTICA;45.47338543;9.24241499;(45.47338543, 9.24241499)
151469379;Area Terzaghi;Via Terzaghi/Via Sant'Elia;1510299;5037145;8;66;QT 8;45.48690444;9.131786;(45.48690444, 9.131786)
151460038;PRU Innocenti/Maserati - area Maserati;Via Rubattino, 37;1519671;5036295;3;23;LAMBRATE - ORTICA;45.47905429;9.25167657;(45.47905429, 9.25167657)
1514610334;Bonifica area ex Tecninox;Via Bullona, 5;1512678;5036938;8;69;SARPI;45.48501017;9.16221768;(45.48501017, 9.16221768)
151469060;Pv Shell 49.247;Via Chiesa Rossa, 157;1513029;5029560;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;45.41859364;9.16652587;(45.41859364, 9.16652587)
151469382;Ex area artigianale;Via Felice Venosta, 27;1512449;5031793;6;45;MONCUCCO - SAN CRISTOFORO;45.43870415;9.15916566;(45.43870415, 9.15916566)
151469796;Bonifica area P.I.I. ex Cartiere Binda - Lotto U4;Alzaia Naviglio Pavese, 260;1513275;5030492;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;45.42697234;9.16968801;(45.42697234, 9.16968801)
1514610216;BONIFICA P.V. ERG n. 8406;Via Gallarate, 281;1508984;5038838;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;45.50216784;9.11498782;(45.50216784, 9.11498782)
1514610045;Bonifica condominio;Via Suzzani, 270;1515890;5040305;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;45.51525001;9.20343708;(45.51525001, 9.20343708)
1514610390;BONIFICA AREA C.A.M.M. Spa;Via Fantoli, 32;1520345;5033257;4;31;MONLUE' - PONTE LAMBRO;45.45169379;9.26017124;(45.45169379, 9.26017124)
1514610173;Area di Via Anelli;Via Anelli, 12;1515078;5033243;5;5;PORTA VIGENTINA - PORTA LODOVICA;45.45170092;9.19282552;(45.45170092, 9.19282552)
151469029;Sversamento accidentale di gasolio;Via Capo Rizzuto, 57;1508073;5039432;8;72;MAGGIORE - MUSOCCO - CERTOSA;45.50752022;9.10333475;(45.50752022, 9.10333475)
151469049;Opere di urbanizzazione Via Chiese (adiacente ex Ansaldo);Via Chiese;1516753;5040896;9;15;BICOCCA;45.52054228;9.21450671;(45.52054228, 9.21450671)
151469451;P.V. Kuwait n. 1097;Via Bagarotti, 14/a;1507486;5033820;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;45.45701629;9.09574029;(45.45701629, 9.09574029)
151469950;Bonifica area ex cabina elettrica di trasformazione;Via Azario, 1;1513217;5034046;1;7;MAGENTA - S. VITTORE;45.4589666;9.1690378;(45.4589666, 9.1690378)
151469453;Ex area F.lli Mussi;Via Tortona, 8;1513255;5033481;6;44;PORTA TICINESE - CONCHETTA;45.45387834;9.16951688;(45.45387834, 9.16951688)
1514610079;Bonifica area di proprietà della Soc. Triboniano 103 S.p.a.;Via Gandhi (Triboniano 103);1509828;5039195;8;72;MAGGIORE - MUSOCCO - CERTOSA;45.50536937;9.12579781;(45.50536937, 9.12579781)
1514610030;Bonifica area Via Marcantonio Dal Re;Via Marcantonio Dal Re, 4;1511383;5037929;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;45.49394965;9.145677;(45.49394965, 9.145677)
151469419;Area Italgas;Via Avezzana, 30;1517981;5031964;4;35;LODI - CORVETTO;45.44012095;9.22989653;(45.44012095, 9.22989653)
151460056;Auschem;Via De Notaris, 50;1518975;5039865;2;17;ADRIANO;45.51120705;9.24291182;(45.51120705, 9.24291182)
151469350;Area ex deposito;Via Pitteri, 106;1519268;5036409;3;23;LAMBRATE - ORTICA;45.48009097;9.24652174;(45.48009097, 9.24652174)
151469860;ex Area Industrie Grafiche MEK;Via Giacomo Watt, 37;1511863;5032184;6;45;MONCUCCO - SAN CRISTOFORO;45.44223159;9.15168345;(45.44223159, 9.15168345)
151469766;Bonifica P.V. Esso n. 2149 - 106224;Via delle Forze Armate, 314;1508676;5034161;7;56;FORZE ARMATE;45.46007595;9.11096311;(45.46007595, 9.11096311)
151469921;Area di Via Pastorelli;Via Pastorelli, 13;1512687;5032621;6;44;PORTA TICINESE - CONCHETTA;45.44615254;9.16222758;(45.44615254, 9.16222758)
151469548;Area Borgo Porretta;Via Porretta;1511457;5039421;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;45.50737942;9.14665658;(45.50737942, 9.14665658)
151469007;Atm;Via Messina, 41;1513518;5037095;8;69;SARPI;45.48640068;9.17298004;(45.48640068, 9.17298004)
151469048;Ente Fiera;Largo Domodossola, 1;1512474;5036335;8;59;TRE TORRI;45.47958306;9.15960069;(45.47958306, 9.15960069)
151469603;Bonifica area condominio di V.le Legioni Romane;Viale Legioni Romane, 65;1509988;5033914;6;53;LORENTEGGIO;45.45782785;9.12773614;(45.45782785, 9.12773614)
151469718;Bonifica area ex Minerva (di proprietà Lambretto Immobiliare s.r.l.);Via Arrighi, 16;1519492;5036592;3;23;LAMBRATE - ORTICA;45.48173069;9.24939976;(45.48173069, 9.24939976)
1514610042;Area dell'ex Stazione di Porta Vittoria - LOTTO 1 e LOTTO 2;Via Molise;1517541;5033673;4;29;ORTOMERCATO;45.4555175;9.22432804;(45.4555175, 9.22432804)
151469298;Area ex Carle e Montanari;Via Neera, 39;1514196;5031154;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;45.43291967;9.18147864;(45.43291967, 9.18147864)
151469845;Area di Via Conconi;Via Conconi, 7;1511484;5034981;7;58;DE ANGELI - MONTE ROSA;45.46741079;9.14689766;(45.46741079, 9.14689766)
1514610249;Area Condominio Corte 1924;Via Cosenz, 22;1512972;5039408;9;77;BOVISA;45.50722961;9.16605494;(45.50722961, 9.16605494)
151469531;Area ex ENAIP;Via Santander, 9;1512878;5031904;6;45;MONCUCCO - SAN CRISTOFORO;45.43968814;9.16465518;(45.43968814, 9.16465518)
1514610065;Bonifica area Via Belgioioso (Vegagest s.r.l.);Via Belgioioso;1509288;5040453;8;74;ROSERIO;45.51669785;9.11890768;(45.51669785, 9.11890768)
151469153;ATM - metropolitana milanese;Via del Vecchio Politecnico, 8;1515329;5035500;1;4;GUASTALLA;45.47201064;9.19610025;(45.47201064, 9.19610025)
151469710;Bonifica ex sede Banca Nazionale del Lavoro;Via Benigno Crespi, 26;1514566;5038632;9;79;DERGANO;45.50021931;9.18643547;(45.50021931, 9.18643547)
151469920;Area V.le Monza di proprietà Edil 6 Srl;Viale Monza , 244;1517664;5040187;2;16;GORLA - PRECOTTO;45.51413736;9.22614124;(45.51413736, 9.22614124)
1514610278;Area di Via Porro Lambertenghi Luigi;Via  Porro Lambertenghi Luigi, 5;1514429;5037372;9;11;ISOLA;45.48887668;9.18463912;(45.48887668, 9.18463912)
151469787;Bonifica area P.I.I. Garibaldi Repubblica - Unità di intervento U3 - ex Immobiliare Romagnina;N/D;1515121;5036929;9;9;PORTA GARIBALDI - PORTA NUOVA;45.4848765;9.19348483;(45.4848765, 9.19348483)
1514610050;Bonifica area Via Racconigi;Via Racconigi, 19;1515396;5039969;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;45.51223561;9.19710146;(45.51223561, 9.19710146)
1514610376;Area Centrale Termica;Via Vittor Pisani, 22;1515831;5036649;2;10;STAZIONE CENTRALE - PONTE SEVESO;45.48234298;9.20255403;(45.48234298, 9.20255403)
151469013;Area ex Coclea;Via Cassinis, 33;1518332;5031416;4;35;LODI - CORVETTO;45.43518049;9.23436003;(45.43518049, 9.23436003)
151469971;Bonifica per viabilità EXPO 2015;Via Stephenson;1508828;5040171;8;75;STEPHENSON;45.51416084;9.11301828;(45.51416084, 9.11301828)
151469752;Bonifica area Ambros Saro S.p.a.;Via De Amicis, 20-22;1514037;5033911;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;45.45773185;9.17952297;(45.45773185, 9.17952297)
151469962;Bonifica area di proprietà Immobiliare Pieren s.r.l.;Via Giacomo Watt, 37;1511911;5032188;6;45;MONCUCCO - SAN CRISTOFORO;45.44226331;9.15229943;(45.44226331, 9.15229943)
